Year,Population, %Increase in Population,Population Density, %Increase in Population Density,Urban Population,Urban Population  of Total Population, Increase in Urban Population,Rural Population,Rural Population  of Total Population, Increase in Rural Population,Life Expectancy, Increase in Life Expectancy,Birth Rate, Change in Birth Rate,Death Rate, Change in Death Rate,Infant Mortality Rate, Change in Infant Mortality Rate,Fertility Rate, Change in Fertility Rate,Net Migration Rate, Change in Net Migration Rate
1960,445954579,2.31,135.66,2.31,80756165,17.92,0.0,369791510,82.08,0.0,41.13,1.49,42.066,-0.55,22.481,-2.32,161.742,-1.45,5.894,-0.02,-0.058,-10.77
1961,456351876,2.33,138.82,2.33,82882675,18.03,2.6,376759491,81.97,1.87,41.74,1.46,41.835,-0.55,21.946,-2.38,159.366,-1.47,5.892,-0.03,-0.05,-13.79
1962,467024193,2.34,142.07,2.34,85456483,18.22,3.06,383620708,81.78,1.8,42.34,1.44,41.603,-0.55,21.411,-2.44,156.989,-1.49,5.891,-0.02,-0.043,-14.0
1963,477933619,2.34,145.39,2.34,88127852,18.41,3.08,390697750,81.6,1.83,42.94,1.42,41.372,-0.56,20.876,-2.5,154.612,-1.51,5.89,-0.02,-0.036,-16.28
1964,489059309,2.33,148.77,2.33,90901311,18.6,3.1,397946828,81.41,1.84,43.57,1.47,41.051,-0.78,20.374,-2.4,152.851,-1.14,5.857,-0.56,-0.055,52.78
1965,500114346,2.26,152.14,2.26,93760317,18.79,3.1,405363011,81.22,1.85,44.2,1.45,40.731,-0.78,19.873,-2.46,151.091,-1.15,5.823,-0.58,-0.074,34.55
1966,510992617,2.18,155.45,2.18,96712771,18.98,3.1,412918738,81.02,1.85,44.84,1.43,40.41,-0.79,19.371,-2.53,149.33,-1.17,5.79,-0.57,-0.092,24.32
1967,521987069,2.15,158.79,2.15,99765995,19.17,3.11,420634582,80.83,1.85,45.47,1.41,40.09,-0.79,18.87,-2.59,147.57,-1.18,5.756,-0.59,-0.111,20.65
1968,533431909,2.19,162.27,2.19,102932969,19.37,3.13,428580865,80.63,1.87,46.1,1.39,39.769,-0.8,18.368,-2.66,145.809,-1.19,5.723,-0.57,-0.13,17.12
1969,545314670,2.23,165.89,2.23,106238157,19.56,3.16,436846176,80.44,1.91,46.75,1.42,39.5,-0.68,17.911,-2.49,143.815,-1.37,5.66,-1.1,0.039,-130.0
1970,557501301,2.23,169.59,2.23,109705504,19.76,3.21,445484293,80.24,1.96,47.41,1.4,39.231,-0.68,17.454,-2.55,141.822,-1.39,5.598,-1.1,0.208,433.33
1971,569999178,2.24,173.4,2.24,113522496,19.99,3.42,454345525,80.01,1.97,48.06,1.38,38.961,-0.69,16.997,-2.62,139.828,-1.41,5.535,-1.13,0.377,81.25
1972,582837973,2.25,177.3,2.25,118082741,20.32,3.94,463004514,79.68,1.89,48.72,1.36,38.692,-0.69,16.54,-2.69,137.835,-1.43,5.473,-1.12,0.546,44.83
1973,596107483,2.28,181.34,2.28,122837876,20.65,3.95,471932260,79.35,1.91,49.37,1.34,38.423,-0.7,16.083,-2.76,135.841,-1.45,5.41,-1.15,0.715,30.95
